date,pm25,pm10,o3,no2,so2
2018/8/2,11,4,19,2,
2018/8/3,12,7,19,4,
2018/8/4,24,8,20,6,
2018/8/5,32,6,27,4,
2018/8/6,21,3,16,1,
2018/8/7,10,5,20,3,
2018/8/8,12,5,21,3,
2018/8/9,14,4,20,3,
2018/8/10,11,5,21,4,
2018/8/11,16,5,18,7,
2018/8/12,18,5,15,4,
2018/8/13,20,5,13,4,
2018/8/14,16,5,18,3,
2018/8/15,16,5,16,1,
2018/8/16,15,5,16,1,
2018/8/17,15,5,17,2,
2018/8/18,18,4,18,,
2018/8/19,17,5,11,,
2018/8/20,18,6,11,,
2018/8/21,23,5,20,,
2018/8/22,19,6,17,,
2018/8/23,18,5,17,,
2018/8/24,12,5,17,,230
2018/8/25,12,6,19,,
2018/8/26,21,6,21,,
2018/8/27,21,4,18,3,
2018/8/28,9,5,22,6,
2018/8/29,11,7,18,5,
2018/8/30,16,8,14,11,
2018/8/31,23,5,23,6,
2018/9/1,17,6,16,10,
2018/9/2,20,4,18,4,
2018/9/3,11,7,19,5,
2018/9/4,18,8,18,9,
2018/9/5,23,5,20,9,
2018/9/6,12,5,17,7,
2018/9/7,14,4,15,8,
2018/9/8,12,3,20,5,
2018/9/9,6,5,22,2,
2018/9/10,9,4,19,3,
2018/9/11,9,6,21,4,
2018/9/12,12,5,17,4,
2018/9/13,10,2,20,4,
2018/9/14,10,4,21,4,
2018/9/15,13,,18,4,
2018/9/17,13,4,21,6,
2018/9/18,11,6,25,3,
2018/9/19,10,8,24,3,
2018/9/20,14,5,19,10,
2018/9/21,12,7,19,4,
2018/9/22,13,6,17,11,
2018/9/23,15,7,21,6,
2018/9/24,22,7,16,10,
2018/9/25,21,5,25,10,
2018/9/26,14,7,22,5,1
2018/9/27,22,7,20,9,
2018/9/28,20,8,16,13,1
2018/9/29,25,6,14,8,1
2018/9/30,18,8,15,6,
2018/4/3,57,9,32,13,1
2018/4/4,33,9,27,7,1
2018/4/5,32,10,32,10,1
2018/4/6,34,17,33,5,
2018/4/7,47,15,23,17,1
2018/4/8,47,,21,13,1
2018/4/10,40,13,18,16,1
2018/4/11,48,,27,11,
2018/4/13,66,21,17,16,1
2018/4/14,67,19,33,7,
2018/4/15,65,15,31,6,
2018/4/16,48,15,30,7,
2018/4/17,50,17,24,8,
2018/4/18,51,9,34,6,7
2018/4/19,32,6,30,8,
2018/4/20,24,8,32,9,
2018/4/21,29,4,32,11,1
2018/4/22,14,,31,5,
2018/4/24,21,7,28,9,
2018/4/25,22,6,31,5,
2018/4/26,18,7,32,6,
2018/4/27,23,6,27,15,1
2018/4/28,19,8,25,10,1
2018/4/29,39,10,31,11,1
2018/4/30,41,8,25,15,1
2018/5/1,33,5,31,7,
2018/5/2,18,12,29,5,
2018/5/3,27,11,27,9,
2018/5/4,27,11,21,8,
2018/5/5,32,9,18,7,
2018/5/6,37,,16,11,1
2018/5/8,25,6,28,4,
2018/5/9,20,8,32,6,
2018/5/10,24,7,30,5,
2018/5/11,22,3,24,8,
2018/5/12,21,3,21,8,1
2018/5/13,20,7,30,6,
2018/5/14,27,9,26,9,
2018/5/15,39,8,15,10,
2018/5/16,25,9,22,9,
2018/5/17,28,12,29,10,1
2018/5/18,44,16,28,18,2
2018/5/19,54,15,19,16,1
2018/5/20,50,12,28,5,
2018/5/21,45,9,42,12,12
2018/5/22,32,15,24,12,
2018/5/23,50,19,35,14,1
2018/5/24,62,18,20,25,1
2018/5/25,60,14,17,10,1
2018/5/26,51,17,19,14,
2018/5/27,56,,14,15,
2018/6/4,46,17,16,10,1
2018/6/5,57,13,25,10,1
2018/6/6,44,15,28,12,2
2018/6/7,46,16,27,13,2
2018/6/8,53,17,25,13,1
2018/6/9,56,16,28,13,1
2018/6/10,57,8,31,11,2
2018/6/11,28,7,26,7,1
2018/6/12,25,8,21,7,1
2018/6/13,30,7,23,4,1
2018/6/14,19,8,26,2,1
2018/6/15,18,4,22,3,1
2018/6/16,11,4,26,3,1
2018/6/17,12,8,23,1,1
2018/6/18,17,5,22,1,
2018/6/19,14,5,20,4,
2018/6/20,14,,,,
2018/2/14,25,8,28,5,1
2018/2/15,24,8,23,9,1
2018/2/16,24,9,26,10,1
2018/2/17,24,7,4,30,4
2018/2/18,25,22,18,12,1
2018/2/19,78,15,24,10,
2018/2/20,48,16,18,9,
2018/2/21,50,22,18,17,1
2018/2/22,62,21,15,15,1
